address,latitude,created date,longitude,organisation,classification,name,category,title,type,website,tree common name,tree scientific name,planted date,theme,sub theme,info,female,male,wheelchair,operator,baby_facil
,-37.814579247299,,144.979494359613,,,,memorials,Captain Cook,,,,,,,,,,,,,
,-37.819243144249,,144.947246789008,,,,memorials,Signature Work,,,,,,,,,,,,,
,-37.8110235138977,,144.978389174842,,,,memorials,People's Path,,,,,,,,,,,,,
,-37.817659776023,,144.959772999626,,,,memorials,John Batman Memorial [2],,,,,,,,,,,,,
,-37.8132572127115,,144.981012344621,,,,memorials,Model Tudor Village,,,,,,,,,,,,,
,-37.782561322013,,144.953293930765,,,,memorials,Zoo Paving,,,,,,,,,,,,,
,-37.8195705744424,,144.971824436445,,,,memorials,Black Swan Memorial Drinking Fountain,,,,,,,,,,,,,
,-37.7889281178088,,144.956058106876,,,,memorials,Burke & Wills Cairn,,,,,,,,,,,,,
,-37.7982578256186,,144.97056462845,,,,memorials,William Ievers (Jnr) Memorial Drinking Fountain,,,,,,,,,,,,,
,-37.8164236255068,,144.967061521425,,,,memorials,Beyond the Ocean of Existence,,,,,,,,,,,,,
,-37.8136957631715,,144.968512999898,,,,memorials,Ceremony and Vehicle for Conveying Spirit,,,,,,,,,,,,,
,-37.8128096545722,,144.981735855762,,,,memorials,Temple of the Winds,,,,,,,,,,,,,
,-37.8143892942827,,144.979910185425,,,,memorials,Boy on a Turtle,,,,,,,,,,,,,
,-37.8224051515098,,144.970643483514,,,,memorials,Children's Lake Waterfall,,,,,,,,,,,,,
,-37.8302819071543,,144.974339825095,,,,memorials,Widow and Children,,,,,,,,,,,,,
,-37.8047443091441,,144.972452071138,,,,memorials,Dr Louis Smith,,,,,,,,,,,,,
,-37.8267733389745,,144.972752128938,,,,memorials,Sir John Monash,,,,,,,,,,,,,
,-37.8112537328974,,144.969347694358,,,,memorials,Tianjin Garden Chinese Lion Guardians,,,,,,,,,,,,,
,-37.8143983824308,,144.966250918798,,,,memorials,Time and Tide,,,,,,,,,,,,,
,-37.7820500448944,,144.956966688817,,,,memorials,Elliot Drinking Fountain,,,,,,,,,,,,,
,-37.8220280877634,,144.970355253427,,,,memorials,The Pathfinder,,,,,,,,,,,,,
,-37.8024440893138,,144.965875284609,,,,memorials,Argyle Square Piazza,,,,,,,,,,,,,
,-37.8155223709634,,144.966994346849,,,,memorials,John Mockridge Fountain,,,,,,,,,,,,,
,-37.8106951235195,,144.953685866683,,,,memorials,Separation Memorial,,,,,,,,,,,,,
,-37.8024841102707,,144.963242841603,,,,memorials,Bali Memorial,,,,,,,,,,,,,
,-37.8127260123213,,144.973942497587,,,,memorials,General Charles Gordon Memorial,,,,,,,,,,,,,
,-37.8155485415339,,144.966892073339,,,,memorials,Larry La Trobe,,,,,,,,,,,,,
,-37.8139538628485,,144.978577436109,,,,memorials,Statue of Meditation,,,,,,,,,,,,,
,-37.7893037541819,,144.972178908201,,,,memorials,Brunton Drinking Fountain East,,,,,,,,,,,,,
,-37.8218411871775,,144.972479021742,,,,memorials,Queen Victoria Memorial,,,,,,,,,,,,,
,-37.8220860665895,,144.971811014259,,,,memorials,Lake Waterfall,,,,,,,,,,,,,
,-37.8218628591026,,144.947009361906,,,,memorials,Blowhole,,,,,,,,,,,,,
,-37.8072067342084,,144.95927167699,,,,memorials,Dairy Hall Window,,,,,,,,,,,,,
,-37.8135370446354,,144.965640931082,,,,memorials,Weathervanes,,,,,,,,,,,,,
,-37.8066292170365,,144.959908875141,,,,memorials,Duke & Duchess of York Memorial [also known as Temperence],,,,,,,,,,,,,
,-37.8202323296824,,144.946325095017,,,,memorials,Reed Vessel,,,,,,,,,,,,,
,-37.8294820320636,,144.973858485945,,,,memorials,Man with the Donkey,,,,,,,,,,,,,
,-37.811529640687,,144.975170291578,,,,memorials,Great Petition,,,,,,,,,,,,,
,-37.8093264245689,,144.958057227641,,,,memorials,Island Wave,,,,,,,,,,,,,
,-37.8235489421227,,144.970827554425,,,,memorials,Walker Fountain,,,,,,,,,,,,,
,-37.8272124256682,,144.972973931049,,,,memorials,Australian Hellenic Memorial,,,,,,,,,,,,,
,-37.8210593800945,,144.969757416659,,,,memorials,Apollo Belvedere,,,,,,,,,,,,,
,-37.8156336994425,,144.96670400597,,,,memorials,Burke and Wills Monument,,,,,,,,,,,,,
,-37.827987844927,,144.973699167888,,,,memorials,Nurse Edith Cavell Memorial,,,,,,,,,,,,,
,-37.7836611910613,,144.960004006558,,,,memorials,Reynold's Reserve Drinking Fountain,,,,,,,,,,,,,
,-37.8242417290806,,144.970982287968,,,,memorials,Victoria Police Memorial,,,,,,,,,,,,,
,-37.8214877018124,,144.971194723297,,,,memorials,The Genie,,,,,,,,,,,,,
,-37.8147653135597,,144.968373946711,,,,memorials,Georges Fountain,,,,,,,,,,,,,
,-37.8071549943472,,144.965588362141,,,,memorials,Eight Hour Day Memorial,,,,,,,,,,,,,
,-37.8118220680303,,144.98265705467,,,,memorials,Bandstand,,,,,,,,,,,,,
,-37.8100968903886,,144.964165113326,,,,memorials,Painted Poles,,,,,,,,,,,,,
,-37.7893037541819,,144.972178908201,,,,memorials,Sir William Brunton Drinking Fountain,,,,,,,,,,,,,
,-37.8194133574865,,144.960198663587,,,,memorials,Another View Site 8,,,,,,,,,,,,,
,-37.8140976922587,,144.963400791877,,,,memorials,The Public Purse,,,,,,,,,,,,,
,-37.8143735830792,,144.974719996297,,,,memorials,Robert Burns Memorial,,,,,,,,,,,,,
,-37.8200825571427,,144.975716690315,,,,memorials,Speakers Corner,,,,,,,,,,,,,
,-37.8221241231269,,144.970661974148,,,,memorials,Water Children,,,,,,,,,,,,,
,-37.8136024871974,,144.965808843709,,,,memorials,Maxims of Behaviour,,,,,,,,,,,,,
,-37.8148050876298,,144.968381035174,,,,memorials,Another View Site 17,,,,,,,,,,,,,
,-37.826071391918,,144.967732716827,,,,memorials,Vault,,,,,,,,,,,,,
,-37.8015394788479,,144.960227248561,,,,memorials,Thomas Ferguson Memorial Drinking Fountain,,,,,,,,,,,,,
,-37.810316205825,,144.954937510299,,,,memorials,Sundial,,,,,,,,,,,,,
,-37.7891381551832,,144.957053770245,,,,memorials,James C Roberts Memorial,,,,,,,,,,,,,
,-37.8266640563688,,144.971916648894,,,,memorials,Marquis of Linlithgow,,,,,,,,,,,,,
,-37.7966290758514,,144.924306747344,,,,memorials,Commonwealth Games Aquatic Sculptures - Eels,,,,,,,,,,,,,
,-37.8259414540802,,144.97185679034,,,,memorials,South African War Memorial (Memorial to Fallen Soldiers),,,,,,,,,,,,,
,-37.8323774586129,,144.972934260924,,,,memorials,Macpherson-Robertson Fountain,,,,,,,,,,,,,
,-37.7852874728369,,144.966190018508,,,,memorials,Councillor William Cook Memorial Drinking Fountain,,,,,,,,,,,,,
,-37.8137257364725,,144.972615422561,,,,memorials,Sir Samuel Gillott,,,,,,,,,,,,,
,-37.8136729531192,,144.974344858809,,,,memorials,Sir William John Clarke,,,,,,,,,,,,,
,-37.8217592722394,,144.974772591697,,,,memorials,Victorian Rowing Association World War 1 Memorial,,,,,,,,,,,,,
,-37.8033418230886,,144.949739174347,,,,memorials,Henderson Drinking Fountain,,,,,,,,,,,,,
,-37.8134099717816,,144.981102238575,,,,memorials,Fairies Tree,,,,,,,,,,,,,
,-37.8157562938546,,144.966810376908,,,,memorials,Painted Poles,,,,,,,,,,,,,
,-37.8138419994948,,144.98275871684,,,,memorials,Mermaid and Fish,,,,,,,,,,,,,
,-37.8058096513433,,144.972528791144,,,,memorials,Spray Lake,,,,,,,,,,,,,
,-37.7953526683028,,144.940687345967,,,,memorials,Bird Panels,,,,,,,,,,,,,
,-37.8074524296746,,144.958306716284,,,,memorials,Passage,,,,,,,,,,,,,
,-37.8118884444692,,144.980015837679,,,,memorials,The Dolphin Fountain,,,,,,,,,,,,,
,-37.8102639884104,,144.955039022542,,,,memorials,The Court Favourite,,,,,,,,,,,,,
,-37.8031427528281,,144.969874382893,,,,memorials,Grollo Fountain,,,,,,,,,,,,,
,-37.810023077877,,144.973642112169,,,,memorials,Pastor Sir Doug Nicholls and Lady Gladys Nicholls,,,,,,,,,,,,,
,-37.7975991057745,,144.967306523849,,,,memorials,Dinny O'Hern Fountain,,,,,,,,,,,,,
,-37.8151070942136,,144.94154651686,,,,memorials,Silence,,,,,,,,,,,,,
,-37.82401351439,,144.974151551243,,,,memorials,Miraggio [also known as Seated Figure],,,,,,,,,,,,,
,-37.8169633057911,,144.967487592771,,,,memorials,Captain Matthew Flinders Statue,,,,,,,,,,,,,
,-37.8211525147875,,144.96423807327,,,,memorials,Faultline,,,,,,,,,,,,,
,-37.8028341907642,,144.966385560213,,,,memorials,William Ievers (Snr) Memorial Drinking Fountain,,,,,,,,,,,,,
,-37.8123634964432,,144.973745102602,,,,memorials,Adam Lindsay Gordon Memorial,,,,,,,,,,,,,
,-37.8137675152884,,144.982771762965,,,,memorials,Boy and Pelican,,,,,,,,,,,,,
,-37.8223354801052,,144.971835314604,,,,memorials,Janet Lady Clarke Memorial Sculpture,,,,,,,,,,,,,
,-37.8226718035411,,144.970988249771,,,,memorials,King Edward VII Memorial,,,,,,,,,,,,,
,-37.8209006645416,,144.954692755363,,,,memorials,Raising the Rattler Pole,,,,,,,,,,,,,
,-37.8297554644672,,144.974419781225,,,,memorials,Edward George Honey Memorial,,,,,,,,,,,,,
,-37.8222098042075,,144.971335362099,,,,memorials,The Water Nymph,,,,,,,,,,,,,
,-37.8121218036023,,144.979703233987,,,,memorials,Boy and Urn,,,,,,,,,,,,,
,-37.8112943375038,,144.973169010105,,,,memorials,Another View Site 1,,,,,,,,,,,,,
,-37.7949047877064,,144.940383505871,,,,memorials,Hotham Hill Pavement Inlay,,,,,,,,,,,,,
,-37.8049009334589,,144.972849862515,,,,memorials,French Fountain,,,,,,,,,,,,,
,-37.8198056338124,,144.963285369515,,,,memorials,Ecophene,,,,,,,,,,,,,
,-37.8081355068188,,144.957645917366,,,,memorials,John Batman Memorial,,,,,,,,,,,,,
,-37.81368540194,,144.965574495439,,,,memorials,"Three Businessmen Who Brought Their Own Lunch: Batman, Swanston & Hoddle",,,,,,,,,,,,,
,-37.8140756775122,,144.978560254824,,,,memorials,Mary Gilbert Memorial,,,,,,,,,,,,,
,-37.8191221578639,,144.974075813898,,,,memorials,Eel Trap,,,,,,,,,,,,,
,-37.8136597452278,,144.976354471097,,,,memorials,John F. Kennedy Memorial,,,,,,,,,,,,,
,-37.8082489627974,,144.975315343723,,,,memorials,Samuel Mauger Drinking Fountain,,,,,,,,,,,,,
,-37.813717094785,,144.980140702756,,,,memorials,Waterfall Fountain,,,,,,,,,,,,,
,-37.8151041704989,,144.96646930561,,,,memorials,Coat of Arms,,,,,,,,,,,,,
,-37.8150299439513,,144.974931522269,,,,memorials,Horse Hitching Post,,,,,,,,,,,,,
,-37.8184091013264,,144.978855433923,,,,memorials,Brunton Drinking Fountain West,,,,,,,,,,,,,
,-37.8201016644485,,144.959454354553,,,,memorials,Scar: A Stolen Vision,,,,,,,,,,,,,
,-37.7949352206982,,144.940340755268,,,,memorials,Hotham Hill Seat,,,,,,,,,,,,,
,-37.8140548926813,,144.967338697856,,,,memorials,Australia Today and Tomorrow,,,,,,,,,,,,,
,-37.8189109755954,,144.973021226526,,,,memorials,Stapley Memorial Drinking Fountain,,,,,,,,,,,,,
,-37.8253717421153,,144.975900160659,,,,memorials,Tilly Aston Bell,,,,,,,,,,,,,
"Shed 9, Victoria Harbour, Docklands, 3008",-37.81656881500009,,144.94383499834845,,,Alumbra,music_venues,,Nightclub,http://www.alumbra.com.au/,,,,,,,,,,,
"Sofitel Hotel, Collins Tower, 25 Collins Street, Melbourne, 3000",-37.81376526700552,,144.9729234875978,,,Sofitel Melbourne On Collins,music_venues,,Accommodation,http://www.sofitel-melbourne.com.au/,,,,,,,,,,,
"Tenancy 47, Ground, 727 Collins Street, Docklands, 3008",-37.82046725912159,,144.94982290293075,,,Bar Nacional,music_venues,,Bar,http://www.barnacional.com.au/,,,,,,,,,,,
"Ground & Rooftop, 103 Lonsdale Street, Melbourne, 3000",-37.81038063462455,,144.9692357633733,,,Bomba Tapas Bar and Rooftop,music_venues,,Bar,https://bombabar.com.au/,,,,,,,,,,,
"11 Nicholson Street, Carlton, 3053",-37.80372847051283,,144.97373148063383,,,Melbourne Museum,music_venues,,Museum,https://museumsvictoria.com.au/melbournemuseum/,,,,,,,,,,,
"Restaurant Crown Towers Hotel, Crown Casino, 8 Whiteman Street, Southbank, 3006",-37.82243272720292,,144.9601748810828,,,"Club 23, Crown Melbourne",music_venues,,Nightclub,http://www.level3atcrown.com.au/,,,,,,,,,,,
"Podium, 1 Southgate Avenue, Southbank, 3006",-37.82047861515797,,144.96589092458512,,,Aria Bar & Lounge,music_venues,,Bar,http://www.sebeldocklands.com.au/en/meeting-rooms/aria-bar-and-events.html,,,,,,,,,,,
"4-6 Goldie Place, Melbourne, 3000",-37.813558526665716,,144.96075407581748,,,Paris Cat Jazz Club,music_venues,,Venue,http://pariscat.com.au/,,,,,,,,,,,
"Level 1, 26 King Street, Melbourne, 3000",-37.81961099011078,,144.95739295718033,,,Clique Bar,music_venues,,Nightclub,http://www.cliquebar.com.au/,,,,,,,,,,,
"Shop 46B, Ground, 8 Whiteman Street, Southbank, 3006",-37.82237743370056,,144.96013664101957,,,Man Tong Kitchen,music_venues,,Bar,http://www.mantongkitchen.com.au/,,,,,,,,,,,
"Unit 1, Basement, 313-315 Flinders Lane, Melbourne, 3000",-37.817456737067324,,144.96378913395765,,,Randy Dragon,music_venues,,Bar,http://www.randydragon.com.au/,,,,,,,,,,,
"278-300 Swanston Street, Melbourne, 3000",-37.81103540168751,,144.96467176356475,,,QV Melbourne,music_venues,,Bar,http://www.qv.com.au,,,,,,,,,,,
"94-96 Bourke Street, Melbourne, 3000",-37.812003038513254,,144.97032587079298,,,The Elephant and Wheelbarrow,music_venues,,Hotel,https://bourkest.elephantandwheelbarrow.com.au/,,,,,,,,,,,
"501 Bourke Street, Melbourne, 3000",-37.81557207833605,,144.9591017007643,,,RACV City Club,music_venues,,Hotel,https://www.racv.com.au/travel-leisure/racv-club/city-club.html,,,,,,,,,,,
"Level 2-3, 2 Coverlid Place, Melbourne, 3000",-37.812290077617654,,144.96856088051632,,,Roxanne Bar,music_venues,,Venue,https://www.facebook.com/roxannebarmelbourne/,,,,,,,,,,,
"Shop 54A, Level 2, 8 Whiteman Street, Southbank, 3006",-37.82237605653925,,144.96005715393778,,,The Palms At Crown,music_venues,,Bar,https://www.crownmelbourne.com.au/events-conferences/function-venues/the-palms-at-crown,,,,,,,,,,,
"Shop 303, Level 3, 300 Lonsdale Street, Melbourne, 3000",-37.81049466323917,,144.96260892303593,,,Lion Hotel at Melbourne Central,music_venues,,Bar,http://www.acemelbourne.com.au/mclion/,,,,,,,,,,,
"Ground, 65 Peel Street, West Melbourne, 3003",-37.80669546524965,,144.95560816104967,,,The Drunken Poet,music_venues,,Bar,http://www.thedrunkenpoet.com.au/,,,,,,,,,,,
"Pt Ground & Levels 1-5, 334-342 City Road, Southbank, 3006",-37.82795247595504,,144.95758234751773,,,Urban Central Backpackers,music_venues,,Venue,http://urbancentral.com.au/,,,,,,,,,,,
"Level 1, 413-417 Elizabeth Street, Melbourne, 3000",-37.80915406493112,,144.9606400792035,,,Workshop,music_venues,,Bar,http://www.workshopbar.com.au/,,,,,,,,,,,
"298 Lygon Street, Carlton, 3053",-37.799970643253964,,144.96723895405708,,,Carlton Yacht Club,music_venues,,,,,,,,,,,,,,
"90-130 Swanston Street, Melbourne, 3000",-37.814912543799636,,144.9664536170434,,,Melbourne Town Hall,music_venues,,Performance space,http://www.melbourne.vic.gov.au/community/hubs-bookable-spaces/Pages/melbourne-town-hall-rooms-for-hire.aspx,,,,,,,,,,,
"8 Whiteman Street, Southbank, 3006",-37.822486643580916,,144.96013363399763,,,Crown Casino,music_venues,,Casino,http://www.level3atcrown.com.au/,,,,,,,,,,,
"150-162 Flinders Street, Melbourne, 3000",-37.81672152422505,,144.9694950938554,,,The Forum Theatre,music_venues,,Venue,https://forummelbourne.com.au/,,,,,,,,,,,
"577-583 Little Collins Street, Melbourne, 3000",-37.81764606140045,,144.95554920127617,,,The Bottom End,music_venues,,,,,,,,,,,,,,
"Rear, 88 Flinders Street, Melbourne, 3000",-37.81602795476901,,144.97181318906033,,,Eau de Vie,music_venues,,Bar,,,,,,,,,,,,
"293-299 La Trobe Street, Melbourne, 3000",-37.81071423194513,,144.96049941842946,,,Duke Of Kent Hotel,music_venues,,Venue,,,,,,,,,,,,
"Ground & Level 1, 267 Little Collins Street, Melbourne, 3000",-37.81471253447779,,144.96556243961416,,,Polepole Bar,music_venues,,Bar,http://www.polepolebar.com.au/,,,,,,,,,,,
"Basement, 125 Flinders Lane, Melbourne, 3000",-37.81553872471665,,144.97036036207516,,,GoGo Bar,music_venues,,Bar,https://www.chinchinrestaurant.com.au/melbourne/gogo-bar/,,,,,,,,,,,
"Level 2, 318-322 Little Collins Street, Melbourne, 3000",-37.81503810840179,,144.96410864029963,,,New Guernica,music_venues,,Nightclub,http://www.newguernica.com.au/,,,,,,,,,,,
"421 Rathdowne Street, Carlton, 3053",-37.79645167488737,,144.97050823745553,,,Capitano,music_venues,,Hotel,https://www.thebeaufort.com.au/,,,,,,,,,,,
"Shed 9, Victoria Harbour, Docklands, 3008",-37.816571590803626,,144.9439939584494,,,The Woolshed,music_venues,,Hotel,https://www.woolshed.melbourne/,,,,,,,,,,,
"Ground, 397 Little Lonsdale Street, Melbourne, 3000",-37.81181776178239,,144.96018541434393,,,Horse Bazaar,music_venues,,Bar,http://www.horsebazaar.com.au/,,,,,,,,,,,
"78-86 Dudley Street, West Melbourne, 3003",-37.80900975220489,,144.9526861520936,,,Witches In Britches,music_venues,,Amusement/Theme Venue,http://www.witchesinbritches.com.au/,,,,,,,,,,,
"Ground, 113 Queen Street, Melbourne, 3000",-37.815890178211724,,144.9609036675483,,,CQ Melbourne,music_venues,,Nightclub,http://www.cqmelbourne.com.au/our-venues/cq-nightclub-home,,,,,,,,,,,
"229 Queensbury St, Carlton,",-37.80447486558001,,144.9611358873818,,,Colour Nightclub,music_venues,,Nightclub,https://www.facebook.com/colournight.club/,,,,,,,,,,,
"Unit 1, 377 Lonsdale Street, Melbourne, 3000",-37.81267565867737,,144.96140750009823,,,Trapt Bar and Escape Rooms,music_venues,,,,,,,,,,,,,,
"Level 1, 246 Russell Street, Melbourne, 3000",-37.81048858505954,,144.96722384705905,,,The Red Hummingbird,music_venues,,Bar,https://www.redhummingbird.com.au/,,,,,,,,,,,
"Level 2, 79 Bourke Street, Melbourne, 3000",-37.81207864874162,,144.97105279643523,,,Good Heavens,music_venues,,Bar,http://www.goodheavens.com.au/,,,,,,,,,,,
"Level 1, 16-20 Corrs Lane, Melbourne, 3000",-37.811157037789194,,144.96837654729146,,,Berlin Bar,music_venues,,Bar,http://www.berlinbar.com.au/,,,,,,,,,,,
"AAMI Park, Olympic Park, 60 Olympic Boulevard, Melbourne, 3004",-37.823968769882505,,144.98255462534763,,,AAMI Park,music_venues,,Performance space,https://www.aamipark.com.au/,,,,,,,,,,,
"12 Bligh Place, Melbourne, 3000",-37.81710896940462,,144.9637044827892,,,Robot Bar,music_venues,,Bar,http://www.robotsushi.com/,,,,,,,,,,,
"Tenancy 6, Alfred Deakin Building, Federation Square, 2 Swanston Street, Melbourne, 3000",-37.81834623092842,,144.96908666163947,,,Australian Centre for the Moving Image (ACMI),music_venues,,Multi-use,https://www.acmi.net.au/,,,,,,,,,,,
"Level 55S, 525 Collins Street, Melbourne, 3000",-37.818353178519466,,144.95714325498983,,,The Lui Bar,music_venues,,,,,,,,,,,,,,
"5 Riverside Quay, Southbank, 3006",-37.82144024332026,,144.96446071868732,,,Belgian Beer Cafe Melbourne,music_venues,,Bar,https://www.belgianbeercafemelbourne.com.au/,,,,,,,,,,,
"Unit 1, Basement, 277 Flinders Lane, Melbourne, 3000",-37.81703740632109,,144.96524327382468,,,The Mill House Bar,music_venues,,Bar,http://themillhouse.com.au/,,,,,,,,,,,
"71 Collins Street, Melbourne, 3000",-37.81424168617854,,144.97130100975428,,,Harley House,music_venues,,Bar,https://harleyhouse.com.au/,,,,,,,,,,,
"Union House Building 130, 230 Grattan Street, Parkville, 3010",-37.799912958805734,,144.96063239627077,,,Union House Theatre University of Melbourne,music_venues,,Public University/College,https://umsu.unimelb.edu.au/,,,,,,,,,,,
"Gnd & Bmt, 125 Swanston Street, Melbourne, 3000",-37.81474151304183,,144.96600928994255,,,Max Watt's,music_venues,,Venue,http://www.maxwatts.com.au/melbourne/,,,,,,,,,,,
"Shop 1, 242 Exhibition Street, Melbourne, 3000",-37.809916568560254,,144.96975861429243,,,Coopers Inn,music_venues,,Hotel,http://www.coopersinn.com.au/,,,,,,,,,,,
"100 St Kilda Road, Southbank, 3006",-37.821552859925035,,144.96888500926758,,,Arts Centre Melbourne,music_venues,,Performance space,https://www.artscentremelbourne.com.au/,,,,,,,,,,,
"223-227 Canning Street, Carlton, 3053",-37.7930358326425,,144.9735256623954,,,Dan O'Connell Hotel,music_venues,,Hotel,http://www.thedan.com.au/,,,,,,,,,,,
"502-504 Flinders Street, Melbourne, 3000",-37.82013879156501,,144.95772242087293,,,Insignia On Flinders,music_venues,,Bar,https://www.zomato.com/melbourne/insignia-flinders-street-cbd-melbourne,,,,,,,,,,,
"400-424 Flinders Street, Melbourne, 3000",-37.81931971370013,,144.96049295002675,,,Immigration Museum,music_venues,,Museum,https://museumsvictoria.com.au/immigrationmuseum/,,,,,,,,,,,
"521 Macaulay Road, Kensington, 3031",-37.79436125976925,,144.92860315925475,,,Hardimans Hotel,music_venues,,Hotel,http://www.hardimans.com.au/,,,,,,,,,,,
"20 Parliament Place, East Melbourne, 3002",-37.811280207254434,,144.97559084778078,,,Park Hyatt Melbourne,music_venues,,Accommodation,https://melbourne.park.hyatt.com/en/hotel/home.html,,,,,,,,,,,
"87-91 Arden Street, North Melbourne, 3051",-37.80085694095499,,144.94761918548477,,,New Market Studios,music_venues,,,,,,,,,,,,,,
"Level 1-3, 256 Collins Street, Melbourne, 3000",-37.81569096024321,,144.96536899928205,,,The Butterfly Club,music_venues,,,,,,,,,,,,,,
"240 King Street, Melbourne, 3000",-37.81460565414994,,144.95509368927424,,,Colonial Hotel/Brown Alley Night Club,music_venues,,Hotel,https://www.thecolonialhotel.com.au/,,,,,,,,,,,
"100-186 La Trobe Street, Melbourne, 3000",-37.809097098049996,,144.96503629766326,,,RMIT University,music_venues,,Gallery,https://www.rmit.edu.au/events/contact/venue-enquiries,,,,,,,,,,,
"11 Singers Lane, Melbourne, 3000",-37.8112098332617,,144.95679721844013,,,Bird's Basement,music_venues,,Venue,https://birdsbasement.com/,,,,,,,,,,,
"621-633 Bourke Street, Melbourne, 3000",-37.816698511726194,,144.95514280793918,,,The Royal Melbourne Hotel,music_venues,,,,,,,,,,,,,,
